Category,Release Date,Series,Set,Card_Number,Card Number Order,Card ID,Card Name,Language,Rarity,Image,Card_Url,Edition,Surface,Variant
Pokemon,10/08/2021,Sword & Shield,Celebrations,006/025,6,PKM2021SWSHCELB000000006025ENGUNLM####,Flying Pikachu V,English,Rare Holo V,https://content.tcgcollector.com/content/images/5e/83/2e/5e832ecea4ebe744acf5a0cdc4e6cdf587e460b232e83668a0364ad61aa58637.jpg,https://www.tcgcollector.com/cards/35589/flying-pikachu-v-celebrations-006-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,007/025,7,PKM2021SWSHCELB000000007025ENGUNLM####,Flying Pikachu VMAX,English,Rare Holo VMAX,https://content.tcgcollector.com/content/images/7b/c0/b6/7bc0b697e2b0eb24e6ff67d8c2bf89ba33cfc88552b6f8c8e75cfd9e4dae2c3b.jpg,https://www.tcgcollector.com/cards/35590/flying-pikachu-vmax-celebrations-007-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,145/147,145,PKM2021SWSHCELB000000145147ENGUNLM###H,Garchomp C LV.X,English,Rare Holo LV.X,https://content.tcgcollector.com/content/images/00/88/cd/0088cdcf8cb2db0f4372b88850d20f3acf2227ffdb443033ef733d91e8173594.jpg,https://www.tcgcollector.com/cards/35626/garchomp-c-lv-x-celebrations-145-147,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,93/101,93,PKM2021SWSHCELB000000093101ENGUNLM###H,Gardevoir ex,English,Rare Holo ex,https://content.tcgcollector.com/content/images/e3/e7/20/e3e720bda721dbd8cd6fa31670ad44f3f013c3167d899eb680ecd37ca97b4fc7.jpg,https://www.tcgcollector.com/cards/35622/gardevoir-ex-celebrations-93-101,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,017/025,17,PKM2021SWSHCELB000000017025ENGUNLM###H,Groudon,English,Rare,https://content.tcgcollector.com/content/images/4b/89/61/4b8961d8b0ae37b32ec2277d85e52302414246674b4386ceb94c49332b526949.jpg,https://www.tcgcollector.com/cards/35600/groudon-celebrations-017-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,15/82,15,PKM2021SWSHCELB000000001582ENGUNLM###H,Here Comes Team Rocket!,English,Rare Holo,https://content.tcgcollector.com/content/images/e0/78/0b/e0780b61c10fdaffd656b120822b248e3cdae59baec21ec5210d4d226a8650e0.jpg,https://www.tcgcollector.com/cards/35614/here-comes-team-rocket-celebrations-15-82,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,001/025,1,PKM2021SWSHCELB000000001025ENGUNLM###H,Ho-Oh,English,Rare,https://content.tcgcollector.com/content/images/bb/ee/08/bbee08b0a25748cbc1ed50b681bcaecc8f0daaee445dc48778a3d3be03bae54e.jpg,https://www.tcgcollector.com/cards/35584/ho-oh-celebrations-001-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,73/102,73,PKM2021SWSHCELB000000073102ENGUNLM###H,Imposter Professor Oak,English,Rare,https://content.tcgcollector.com/content/images/d4/89/68/d48968c62095d28c38a9f5497b68151c09e9126e81155211152b00f47fa0ae55.jpg,https://www.tcgcollector.com/cards/35612/imposter-professor-oak-celebrations-73-102,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,003/025,3,PKM2021SWSHCELB000000003025ENGUNLM###H,Kyogre,English,Rare,https://content.tcgcollector.com/content/images/0f/66/40/0f66403438f910f4d8cc6190686d9285d880493910c0da99def62ea9eefe87a7.jpg,https://www.tcgcollector.com/cards/35586/kyogre-celebrations-003-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,022/025,22,PKM2021SWSHCELB000000022025ENGUNLM###H,Lugia,English,Rare,https://content.tcgcollector.com/content/images/ba/0c/7c/ba0c7cb4b6f13c27910be25897718a55bad51f231abc8312313da1d7e2fbc480.jpg,https://www.tcgcollector.com/cards/35605/lugia-celebrations-022-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,015/025,15,PKM2021SWSHCELB000000015025ENGUNLM###H,Lunala,English,Rare Holo,https://content.tcgcollector.com/content/images/e7/39/b2/e739b2242f1664531dbb3a3d7e09db03297dffc4a743f5057c2b35aecb3c886c.jpg,https://www.tcgcollector.com/cards/35598/lunala-celebrations-015-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,109/111,109,PKM2021SWSHCELB000000109111ENGUNLM###H,Luxray GL LV.X,English,Rare Holo LV.X,https://content.tcgcollector.com/content/images/1f/2a/39/1f2a3984918ff616d7539c18911a9bb85bd22b7189ef0ecbc364d77db60925c5.jpg,https://www.tcgcollector.com/cards/35625/luxray-gl-lv-x-celebrations-109-111,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,76/108,76,PKM2021SWSHCELB000000076108ENGUNLM####,M Rayquaza-EX,English,Rare Holo EX,https://content.tcgcollector.com/content/images/cc/17/8e/cc178e07490916366c64ddf77aafb11af5e52eac23367d2ed030f3e29f852fba.jpg,https://www.tcgcollector.com/cards/35632/m-rayquaza-ex-celebrations-76-108,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,011/025,11,PKM2021SWSHCELB000000011025ENGUNLM###H,Mew,English,Rare Holo,https://content.tcgcollector.com/content/images/9e/51/27/9e512759738a2a8f3d9b0250f1933af391357bb86282561df3b4814e451cb543.jpg,https://www.tcgcollector.com/cards/35594/mew-celebrations-011-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,025/025,25,PKM2021SWSHCELB000000025025ENGUNLM####,Mew,English,Rare Secret,https://content.tcgcollector.com/content/images/23/af/60/23af601ca29b3dda0f03e27b1cf9f09de4de500dda49eecd1875e2e8005a4a85.jpg,https://www.tcgcollector.com/cards/35608/mew-celebrations-025-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,88/92,88,PKM2021SWSHCELB000000008892ENGUNLM###H,Mew ex,English,Rare Holo ex,https://content.tcgcollector.com/content/images/d0/52/04/d0520486281d33bc26f180a380f94fb897120b3607b42529ec076cc84fa6c545.jpg,https://www.tcgcollector.com/cards/35621/mew-ex-celebrations-88-92,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,54/99,54,PKM2021SWSHCELB000000005499ENGUNLM####,Mewtwo-EX,English,Rare Holo EX,https://content.tcgcollector.com/content/images/f0/40/05/f0400549068bd49ea726bb4bed21603167caaa08b61ec772c5ff15c6b954ede3.jpg,https://www.tcgcollector.com/cards/35630/mewtwo-ex-celebrations-54-99,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,004/025,4,PKM2021SWSHCELB000000004025ENGUNLM###H,Palkia,English,Rare,https://content.tcgcollector.com/content/images/72/71/7c/72717ca3cd13c2f578627d959bd5a3590ffb425dbdc7e5b2f27c066e392cd40b.jpg,https://www.tcgcollector.com/cards/35587/palkia-celebrations-004-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,005/025,5,PKM2021SWSHCELB000000005025ENGUNLM####,Pikachu,English,Rare Holo,https://content.tcgcollector.com/content/images/23/c0/72/23c07224df373803f837fc417e13706ae50822682d45ee5cbf712bb75253cea5.jpg,https://www.tcgcollector.com/cards/35588/pikachu-celebrations-005-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,023/025,23,PKM2021SWSHCELB000000023025ENGUNLM###H,Professor's Research,English,Rare Holo,https://content.tcgcollector.com/content/images/94/15/9f/94159fb27430e6c8230274e11644dc0831af0e280f4fc76273990cf6388f5456.jpg,https://www.tcgcollector.com/cards/35606/professors-research-celebrations-023-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,024/025,24,PKM2021SWSHCELB000000024025ENGUNLM####,Professor's Research,English,Rare Ultra,https://content.tcgcollector.com/content/images/c8/36/78/c83678eaf205a29bbeee5797cfcb79ff7eea7924070b1604994750367f804b9d.jpg,https://www.tcgcollector.com/cards/35607/professors-research-celebrations-024-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,002/025,2,PKM2021SWSHCELB000000002025ENGUNLM###H,Reshiram,English,Rare,https://content.tcgcollector.com/content/images/13/00/65/1300651b7e37cbd06904d965e28d61c4063f83da8f4b78ad6a80b4a15f5e0ffb.jpg,https://www.tcgcollector.com/cards/35585/reshiram-celebrations-002-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,113/114,113,PKM2021SWSHCELB000000113114ENGUNLM####,Reshiram,English,Rare Ultra,https://content.tcgcollector.com/content/images/2b/d3/19/2bd3191ac7ce1538c94c5151c1ab34b178f0c1a760a4507a1be5a8c0f839ff36.jpg,https://www.tcgcollector.com/cards/35628/reshiram-celebrations-113-114,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,86/109,86,PKM2021SWSHCELB000000086109ENGUNLM###H,Rocket's Admin.,English,Uncommon,https://content.tcgcollector.com/content/images/fd/3e/4c/fd3e4c1c8d306d5fd806072445d55b6b41ecc64fd4e9ddd38c5fba4cc830c67d.jpg,https://www.tcgcollector.com/cards/35620/rockets-admin-celebrations-86-109,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,15/132,15,PKM2021SWSHCELB000000015132ENGUNLM###H,Rocket's Zapdos,English,Rare Holo,https://content.tcgcollector.com/content/images/64/cb/f7/64cbf72f0e654e3703dc8645952bd0d6a8101173886fba2a726b372e66f7efa4.jpg,https://www.tcgcollector.com/cards/35616/rockets-zapdos-celebrations-15-132,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,66/64,66,PKM2021SWSHCELB000000006664ENGUNLM###H,Shining Magikarp,English,Rare Secret,https://content.tcgcollector.com/content/images/9f/29/77/9f2977c812a4008d6fdd9d5efd22db3a2843dd2d47e92c8eaf7029f38d534936.jpg,https://www.tcgcollector.com/cards/35618/shining-magikarp-celebrations-66-64,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,021/025,21,PKM2021SWSHCELB000000021025ENGUNLM###H,Solgaleo,English,Rare Holo,https://content.tcgcollector.com/content/images/88/aa/02/88aa024f5d390ed2a63fc1e5abdaff1f4da992317342f4b2043bb8602c8c61a0.jpg,https://www.tcgcollector.com/cards/35604/solgaleo-celebrations-021-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,008/025,8,PKM2021SWSHCELB000000008025ENGUNLM####,Surfing Pikachu V,English,Rare Holo V,https://content.tcgcollector.com/content/images/63/d9/18/63d918414f8033a96366a9259fb408361b6e7ff152769b1b088f34bd988a2237.jpg,https://www.tcgcollector.com/cards/35591/surfing-pikachu-v-celebrations-008-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,009/025,9,PKM2021SWSHCELB000000009025ENGUNLM####,Surfing Pikachu VMAX,English,Rare Holo VMAX,https://content.tcgcollector.com/content/images/06/19/e0/0619e0ba365860dbcd1ea301e88826b922e1a475a30a7c797a64f2db4c38fc23.jpg,https://www.tcgcollector.com/cards/35592/surfing-pikachu-vmax-celebrations-009-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,60/145,60,PKM2021SWSHCELB000000060145ENGUNLM####,Tapu Lele-GX,English,Rare Holo GX,https://content.tcgcollector.com/content/images/56/92/e8/5692e8d87a8af2b2bae56e82e0e39c974effb4fee1129d353aba80d848b5f578.jpg,https://www.tcgcollector.com/cards/35633/tapu-lele-gx-celebrations-60-145,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,9/95,9,PKM2021SWSHCELB000000000995ENGUNLM###H,Team Magma's Groudon,English,Rare Holo,https://content.tcgcollector.com/content/images/42/8f/f4/428ff4ec66e92049fd882575f61a95eff9caaaa22063152eb7060ff9acbe456e.jpg,https://www.tcgcollector.com/cards/35619/team-magmas-groudon-celebrations-9-95,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,17/17,17,PKM2021SWSHCELB000000001717ENGUNLM###H,Umbreon Gold Star,English,Rare Holo ,https://content.tcgcollector.com/content/images/cb/1f/4a/cb1f4a4df8022168eeb096066239ade17fd6e49b15bc49d3b36fdc338e384fe6.jpg,https://www.tcgcollector.com/cards/35623/umbreon-star-celebrations-17-17,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,15/102,15,PKM2021SWSHCELB000000015102ENGUNLM###H,Venusaur,English,Rare Holo,https://content.tcgcollector.com/content/images/5b/2e/27/5b2e271fc6ebe601ccdac10f1760764f8efeda5bedf5325e088ced7a6ed42e73.jpg,https://www.tcgcollector.com/cards/35609/venusaur-celebrations-15-102,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,012/025,12,PKM2021SWSHCELB000000012025ENGUNLM###H,Xerneas,English,Rare,https://content.tcgcollector.com/content/images/46/fc/41/46fc411259e44002a6de12ad07e9b4df638f3e4eb82e9920111bbf345bc5970c.jpg,https://www.tcgcollector.com/cards/35595/xerneas-celebrations-012-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,97/146,97,PKM2021SWSHCELB000000097146ENGUNLM####,Xerneas-EX,English,Rare Holo EX,https://content.tcgcollector.com/content/images/f2/2e/8f/f22e8f9bdfd8a0f5d6d81c7af4550314e09b7e437d206415aebc3ad156ab3a16.jpg,https://www.tcgcollector.com/cards/35631/xerneas-ex-celebrations-97-146,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,019/025,19,PKM2021SWSHCELB000000019025ENGUNLM###H,Yveltal,English,Rare,https://content.tcgcollector.com/content/images/63/75/d4/6375d49215089cd384a3cfa357e4adf73afe3d4705762ab3b84475a81de303ab.jpg,https://www.tcgcollector.com/cards/35602/yveltal-celebrations-019-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,016/025,16,PKM2021SWSHCELB000000016025ENGUNLM####,Zacian V,English,Rare Holo V,https://content.tcgcollector.com/content/images/a8/2e/1f/a82e1f47d5cef7923f7a13d8a19158615211e7d4e4e982484b0ecc0eb4138276.jpg,https://www.tcgcollector.com/cards/35599/zacian-v-celebrations-016-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,018/025,18,PKM2021SWSHCELB000000018025ENGUNLM####,Zamazenta V,English,Rare Holo V,https://content.tcgcollector.com/content/images/24/75/e5/2475e58aca01bde08d4d6ab2dbd4fcb468f1884406de5902d4c66439822ffed8.jpg,https://www.tcgcollector.com/cards/35601/zamazenta-v-celebrations-018-025,Unlimited,,
Pokemon,10/08/2021,Sword & Shield,Celebrations,010/025,10,PKM2021SWSHCELB000000010025ENGUNLM###H,Zekrom,English,Rare,https://content.tcgcollector.com/content/images/4f/52/0b/4f520b126ff33852f5472a04769d2d5694dfb39fb6bfa3aeb71e147b71099a20.jpg,https://www.tcgcollector.com/cards/35593/zekrom-celebrations-010-025,Unlimited,Holo,
Pokemon,10/08/2021,Sword & Shield,Celebrations,114/114,114,PKM2021SWSHCELB000000114114ENGUNLM####,Zekrom,English,Rare Ultra,https://content.tcgcollector.com/content/images/0b/69/75/0b69753f0d338b5aef8deee10efa33a90f4d19139429b78659aa6a97eef9e60f.jpg,https://www.tcgcollector.com/cards/35629/zekrom-celebrations-114-114,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,106/203,106,PKM2021SWSHEVSK000000106203ENGUNLM####,Altaria,English,Rare,https://content.tcgcollector.com/content/images/41/6f/49/416f49104e5621309045dd25b1c9de684ab8d4600191d09e8f816ef091381b7f.jpg,https://www.tcgcollector.com/cards/35241/altaria-evolving-skies-106-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,056/203,56,PKM2021SWSHEVSK000000056203ENGUNLM####,Ampharos,English,Rare,https://content.tcgcollector.com/content/images/0c/34/9c/0c349cf262bb49ff3dddc2dc0658074a1005a8c53540b30ed32fd3683a90d47a.jpg,https://www.tcgcollector.com/cards/35191/ampharos-evolving-skies-056-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,121/203,121,PKM2021SWSHEVSK000000121203ENGUNLM####,Appletun,English,Rare,https://content.tcgcollector.com/content/images/70/2c/65/702c65c347c1e68558da9a600d288830f3e7ada938dc7889882c10dd40ae12ad.jpg,https://www.tcgcollector.com/cards/35256/appletun-evolving-skies-121-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,017/203,17,PKM2021SWSHEVSK000000017203ENGUNLM####,Applin,English,Common,https://content.tcgcollector.com/content/images/92/97/11/929711d61bfed5321d1ef6bb42aac79fb7711e36f4c3ecb9a1d00842c171223d.jpg,https://www.tcgcollector.com/cards/35152/applin-evolving-skies-017-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,048/203,48,PKM2021SWSHEVSK000000048203ENGUNLM####,Arctovish V,English,Rare Holo V,https://content.tcgcollector.com/content/images/94/9f/22/949f2292d49c81dca32f992e83ee703bd33d3c6cba45d0a9b24464db19a8d784.jpg,https://www.tcgcollector.com/cards/35183/arctovish-v-evolving-skies-048-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,176/203,176,PKM2021SWSHEVSK000000176203ENGUNLM####,Arctovish V,English,Rare Ultra,https://content.tcgcollector.com/content/images/0e/3d/d2/0e3dd27f71801c54d5889842f3a8ac9102fdc3c0af0c7d77fc67aad0e2ed613a.jpg,https://www.tcgcollector.com/cards/35311/arctovish-v-evolving-skies-176-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,141/203,141,PKM2021SWSHEVSK000000141203ENGUNLM####,Aroma Lady,English,Uncommon,https://content.tcgcollector.com/content/images/77/4d/20/774d20f0499b8008e28e8a4fe8f7159e730d9f4df8adebff9b291c94f40f5aa3.jpg,https://www.tcgcollector.com/cards/35276/aroma-lady-evolving-skies-141-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,199/203,199,PKM2021SWSHEVSK000000199203ENGUNLM####,Aroma Lady,English,Rare Ultra,https://content.tcgcollector.com/content/images/d5/1b/4b/d51b4b1be9237cd8167e9568acabf3d40412b032530481c461a4f27cba951774.jpg,https://www.tcgcollector.com/cards/35334/aroma-lady-evolving-skies-199-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,221/203,221,PKM2021SWSHEVSK000000221203ENGUNLM####,Aroma Lady,English,Rare Rainbow,https://content.tcgcollector.com/content/images/58/d5/ef/58d5ef71373d16e84c7f18a6c7bc32d5737430a4f3d8eca48f5e9f858bd15009.jpg,https://www.tcgcollector.com/cards/35356/aroma-lady-evolving-skies-221-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,045/203,45,PKM2021SWSHEVSK000000045203ENGUNLM####,Avalugg,English,Uncommon,https://content.tcgcollector.com/content/images/c9/73/6d/c9736dec49a53871b518799b8a29f95edb387a257e48f3627a33c0c2f6f6f4d2.jpg,https://www.tcgcollector.com/cards/35180/avalugg-evolving-skies-045-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,107/203,107,PKM2021SWSHEVSK000000107203ENGUNLM####,Bagon,English,Common,https://content.tcgcollector.com/content/images/c2/4e/76/c24e7606f217450c8e738cbed2504e604ea2c45936f9cec2e9ec6d186894b06b.jpg,https://www.tcgcollector.com/cards/35242/bagon-evolving-skies-107-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,044/203,44,PKM2021SWSHEVSK000000044203ENGUNLM####,Bergmite,English,Common,https://content.tcgcollector.com/content/images/6a/2d/f8/6a2df8e9ff90cf5d7fa44033693abe62fb9d578375496384e482dd3645a9888d.jpg,https://www.tcgcollector.com/cards/35179/bergmite-evolving-skies-044-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,087/203,87,PKM2021SWSHEVSK000000087203ENGUNLM####,Boldore,English,Uncommon,https://content.tcgcollector.com/content/images/aa/fe/ce/aafece58c5d630fe4e1ce8858a6f1657cc86e782848c54686650b9b26348833e.jpg,https://www.tcgcollector.com/cards/35222/boldore-evolving-skies-087-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,142/203,142,PKM2021SWSHEVSK000000142203ENGUNLM####,Boost Shake,English,Uncommon,https://content.tcgcollector.com/content/images/60/45/c8/6045c8ffad5dbb1150d70f6dba959611bd44faa6fae4f940e24089d1ed4cccc0.jpg,https://www.tcgcollector.com/cards/35277/boost-shake-evolving-skies-142-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,229/203,229,PKM2021SWSHEVSK000000229203ENGUNLM####,Boost Shake,English,Rare Secret,https://content.tcgcollector.com/content/images/85/90/75/859075059a714bb5d0bcd2dfa9ee4acae3f2fba6515d5654cf27011ae3a1534a.jpg,https://www.tcgcollector.com/cards/35364/boost-shake-evolving-skies-229-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,137/203,137,PKM2021SWSHEVSK000000137203ENGUNLM####,Braviary,English,Uncommon,https://content.tcgcollector.com/content/images/66/6f/0d/666f0d124d661aaae6c15f91f9e33994ba4389228f091d69fe1e340f48635734.jpg,https://www.tcgcollector.com/cards/35272/braviary-evolving-skies-137-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,035/203,35,PKM2021SWSHEVSK000000035203ENGUNLM####,Carvanha,English,Common,https://content.tcgcollector.com/content/images/ed/00/97/ed0097c917a81e4010e5726d31e578ad7ccb2d40ddd2cc960e44df6a50b6a87f.jpg,https://www.tcgcollector.com/cards/35170/carvanha-evolving-skies-035-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,052/203,52,PKM2021SWSHEVSK000000052203ENGUNLM####,Chinchou,English,Common,https://content.tcgcollector.com/content/images/10/fe/f4/10fef4ed997ab1b035f5f3b1ef95d563c4e760a0fc034909dc65b0bcd189d2e0.jpg,https://www.tcgcollector.com/cards/35187/chinchou-evolving-skies-052-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,143/203,143,PKM2021SWSHEVSK000000143203ENGUNLM####,Copycat,English,Uncommon,https://content.tcgcollector.com/content/images/bf/a3/66/bfa366115c14a1164e920da2597cddceef4137c24288cf87bfb8e9cc5db42c3d.jpg,https://www.tcgcollector.com/cards/35278/copycat-evolving-skies-143-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,200/203,200,PKM2021SWSHEVSK000000200203ENGUNLM####,Copycat,English,Rare Ultra,https://content.tcgcollector.com/content/images/9c/bc/fe/9cbcfeb6e11b20c20b0b1b772318efa0ae111d7b3434504daa1ba5ae13aed39a.jpg,https://www.tcgcollector.com/cards/35335/copycat-evolving-skies-200-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,222/203,222,PKM2021SWSHEVSK000000222203ENGUNLM####,Copycat,English,Rare Rainbow,https://content.tcgcollector.com/content/images/67/37/48/6737484813805ee41de1d0ddd5d4be4f40ecb6ac21b58f04fd7a8fab304d5416.jpg,https://www.tcgcollector.com/cards/35357/copycat-evolving-skies-222-203,Unlimited,,
Pokemon,08/27/2021,Sword & Shield,Evolving Skies,228/203,228,PKM2021SWSHEVSK000000228203ENGUNLM####,Cresselia,English,Rare Secret,https://content.tcgcollector.com/content/images/cb/55/99/cb55993ddf6e445d5e5c3bbd16fcfcd4b5d31d32f9b6b1a176f1592f6d01cefc.jpg,https://www.tcgcollector.com/cards/35363/cresselia-evolving-skies-228-203,Unlimited,,
